In man-in-box?,Name,Preferred ID for nerve name,Superclass,Origin/Central connection/Parent nerve,Preferred ID for Origin/Central connection/Parent nerve,efferent/afferent for column D ,Anatomical landmarks along nerve (from origin to destination),Preferred ID for landmarks,Destination(s),Preferred ID (of destination),Extra details,Detailed relationship to landmarks,Notes,References
Yes,Communicating branch of right glossopharyngeal nerve with auricular branch of right vagus nerve,FMA:53484,FMA:53483,Point on right glossopharyngeal nerve where communicating branch of right glossopharyngeal nerve with auricular branch of right vagus nerve starts,,,,,,,,,,
Yes,Communicating branch of left glossopharyngeal nerve with auricular branch of left vagus nerve,FMA:53485,FMA:53483,Point on left glossopharyngeal nerve where communicating branch of left glossopharyngeal nerve with auricular branch of left vagus nerve starts,,,,,,,,,,
,Communicating branch of glossopharyngeal nerve with auriculotemporal nerve,FMA:53492,,Point on glossopharyngeal nerve where communicating branch of glossopharyngeal nerve with auriculotemporal nerve starts,,,,,(Auriculotemporal nerve),FMA:53000,,,,
,Communicating branch of right glossopharyngeal nerve with right auriculotemporal nerve,FMA:53500,FMA:53492,Point on right glossopharyngeal nerve where communicating branch of right glossopharyngeal nerve with right auriculotemporal nerve starts,,,,,,,,,,
,Communicating branch of left glossopharyngeal nerve with left auriculotemporal nerve,FMA:53501,FMA:53492,Point on left glossopharyngeal nerve where communicating branch of left glossopharyngeal nerve with left auriculotemporal nerve starts,,,,,,,,,,
,Tympanic nerve,UBERON:0036216,,Point on glossopharyngeal nerve where tympanic nerve starts,,,"Branch of glossopharyngeal nerve, leaves inferior ganglion of the glossopharyngeal nerve just outside jugular foramen",,"* (Tympanic plexus)
* Mucous membrane lining (tympanic cavity) 
* (Lesser petrosal nerve)","* FMA:77533
* UBERON:0004114
* ILX:0793722",,"Branch of glossopharyngeal nerve, leaves inferior ganglion of the glossopharyngeal nerve, ascends to the tympanic cavity through the inferior tympanic canaliculus and divides into branches that contribute to the tympanic plexus. Lesser petrosal nerve derives from tympanic plexus.",,"Gray's Anatomy p 466, 638"
Yes,Right tympanic nerve,FMA:53481,UBERON:0036216,Point on right glossopharyngeal nerve where right tympanic nerve starts,,,,,,,,,,
Yes,Left tympanic nerve,FMA:53482,UBERON:0036216,Point on left glossopharyngeal nerve where left tympanic nerve starts,,,,,,,,,,
,Petrous ganglion (inferior ganglion of glossopharyngeal nerve),UBERON:0005360,,Point on glossopharyngeal nerve where petrous ganglion is,,,Cell bodies of sensory fibres of glossopharyngeal nerve. Immediately outside jugular foramen.,,"* (Communicating branch of superior cervical ganglion with glossopharyngeal nerve)
* (Communicating branch of glossopharyngeal nerve with auricular branch of vagus nerve) 
* (Carotid sinus nerve)","* FMA:6900
* FMA:53483
* UBERON:0009009",,Lies in the lower portion of the petrous part of the temporal bone.,,
,Carotid branch of glossopharyngeal nerve (also called Carotid sinus nerve),UBERON:0009009,,Point on glossopharyngeal nerve where carotid branch of glossopharyngeal nerve starts,,,Often double. Arises just below jugular foramen,,"* (Carotid body)
* (Carotid sinus)","* UBERON:0001629
* UBERON:0003708","Afferent fibres from chemoreceptors in carotid body and baroreceptors in carotid sinus wall
Descends on internal carotid artery to wall of carotid sinus and carotid body, afferent neuron cell bodies are in petrous/petrosal ganglion of glossopharyngeal nerve","May communicate with the inferior ganglion of the vagus or one of its branches, and with a sympathetic branch from the superior cervical ganglion",,Gray's Anatomy p 466
Yes,"* Right carotid sinus nerve
* right A carotid sinus nerve","* FMA:53508
* ILX:0794571",UBERON:0009009,Point on right glossopharyngeal nerve where right carotid sinus nerve starts,,,,,,,,,,
Yes,"* Left carotid sinus nerve
* left A carotid sinus nerve","* FMA:53509
* ILX:0794574",UBERON:0009009,Point on left glossopharyngeal nerve where left carotid sinus nerve starts,,,,,,,,,,
,"* Pharyngeal branch of glossopharyngeal nerve
* Set of pharyngeal branches of glossopharyngeal nerve","* ILX:0789339
* FMA:75526",,Point on glossopharyngeal nerve where pharyngeal branches of glossopharyngeal nerve start,,,,,* (Pharyngeal plexus),* UBERON:0011325,"Unite with pharyngeal branch of vagus and larynopharyngeal branches of the sympathetic trunk to form pharyngeal plexus near middle pharyngeal constrictor, ultimately supplying sensory fibres to the mucosa of the oropharynx",,,Gray's Anatomy p 466
Yes,Pharyngeal branch of right glossopharyngeal nerve,FMA:53494,"ILX:0789339 FMA:75526",,,,,,,,,,,
Yes,Pharyngeal branch of left glossopharyngeal nerve,FMA:53495,"ILX:0789339 FMA:75526",,,,,,,,,,,
,"* Tonsillar branch of glossopharyngeal nerve
* Set of tonsillar branches of glossopharyngeal nerve","* FMA:53489
* FMA:75527",,Point on glossopharyngeal nerve where tonsillar branch of glossopharyngeal nerve starts,,,,,"* (Soft palate)
* (Oropharyngeal isthmus)","* UBERON:0001733
* FMA:55006",,Along with tonsillar branches of maxillary nerve forms a plexus (circulus tonsillaris) around the tonsil,,Gray's Anatomy p 577
Yes,Tonsillar branch of right glossopharyngeal nerve,FMA:53506,"FMA:53489
FMA:75527",,,,,,,,,,,
Yes,Tonsillar branch of left glossopharyngeal nerve,FMA:53507,"FMA:53489
FMA:75527",,,,,,,,,,,
,"* Lingual branch of glossopharyngeal nerve
* Set of lingual branches of glossopharyngeal nerve","* FMA:53490
* FMA:75528",,Point on glossopharyngeal nerve where lingual branch of glossopharyngeal nerve starts,,,,,* Posterior 1/3 of (tongue),* UBERON:0001723,,,,
Yes,Lingual branch of right glossopharyngeal nerve (Right lingual branch of glossopharyngeal nerve),FMA:53504,"FMA:53490
FMA:75528",,,,,,,,,,,
Yes,Lingual branch of left glossopharyngeal nerve (Left lingual branch of glossopharyngeal nerve),FMA:53505,"FMA:53490
FMA:75528",,,,,,,,,,,
,Tympanic plexus,FMA:77533,,,,,In tympanic cavity on tympanic promontory. Formed from tympanic branch of glossopharyngeal nerve and caroticotympanic nerves from internal carotid artery nerve plexus.,,"* Mucosa of (tympanic cavity)
* (Pharyngotympanic tube) 
* (Promontory of tympanic cavity)
* (Mastoid air cell)
* (Greater petrosal nerve)","* UBERON:0004114
* UBERON:0002393
* UBERON:0035964
* FMA:55800
* ILX:0793702",,,,"Gray's Anatomy p 575, 638"
,Lesser petrosal nerve,ILX:0793722,,* (Tympanic plexus),* FMA:77533,,"* (Tympanic nerve plexus)
* (Otic ganglion)","* FMA:77533
* UBERON:0003963",* (Parotid gland),* UBERON:0001831,"Continuation of tympanic nerve after leaving tympanic plexus in the ear.
Considered a branch of the glossopharyngeal nerve via the tympanic nerve and tympanic plexus. Also receives fibres from nervus intermediius of facial nerve and auricular branch of the vagus nerve.
To otic ganglion then alongside auriculotemporal nerve to end in parotid gland (parasympathetic secretomotor effect).",Runs intracranially in the middle cranial fossa on the anterior surface of the petrous bone before passing through either the foramen ovale or the sphenopetrosal fissure to join the otic ganglion. Receives a connecting branch from the geniculate ganglion of the facial nerve.,Detailed description of its pathway in Gray's Anatomy p 638,Gray's Anatomy p 638
Yes,Right lesser petrosal nerve,FMA:53502,ILX:0793722,,,,,,,,,,,
Yes,Left lesser petrosal nerve,FMA:53503,ILX:0793722,,,,,,,,,,,
,Pharyngeal plexus,UBERON:0011325,,"* Point on pharyngeal branch of glossopharyngeal nerve where pharyngeal plexus is
* Point on pharyngeal branch of vagus nerve where pharyngeal plexus is
* Point on superior laryngeal nerve where pharyngeal plexus is
* Branch from (superior cervical sympathetic ganglion)",,,"Lies on the external surface of the pharynx, especially on the middle constrictor. Formed from pharyngeal branches of glossopharyngeal, vagus and superior laryngeal nerves and superior cervical sympathetic ganglion.",,,,,,,Gray's Anatomy p 582
,Internal carotid nerve plexus,UBERON:0002024,,,,,,,,,,,,
,Right internal carotid nerve plexus,REQUESTED,UBERON:0002024,,,,,,,,,,,
,Left internal carotid nerve plexus,REQUESTED,UBERON:0002024,,,,,,,,,,,
,Intercarotid nerve plexus,REQUESTED,,,,,"Formed from carotid sinus nerve (branch of glossopharyngeal nerve), Has superficial, intermediate and deep trunks. In triangular space between internal and external carotid arteries.",,,,,Superficial branch of carotid sinus nerve anastamoses with the carotid branch of the vagus nerve to form the superficial carotid ansa which also receives fibres from the hypoglossal nerve and the pharyngeal branch of the vagus. The deep branch of the carotid sinus nerve receives a communicating branch from the inferior branch of the superior cervical sympathetic ganglion to form the intermediate trunk of the intercarotid plexus. (More detail in Shoja et al.),,"Shoja et al., Anastamoses Between Lower Cranial and Upper Cervical Nerves: A Comprehensive Review With Potential SIgnificance During Skull Base and Neck Operations, Part II: Glossopharyngeal, Vagus, Accessory, and Hypoglossal Nerves and Cervical Spinal Nerves 1-4 Clinical Anatomy 27: 131-144 (2014)"
,Right intercarotid nerve plexus,REQUESTED,Intercarotid nerve plexus,,,,,,,,,,,
,Left intercarotid nerve plexus,REQUESTED,Intercarotid nerve plexus,,,,,,,,,,,
,Vagus nerve,UBERON:0001759,,"* (Medulla oblongata) of brainstem
* (Nucleus ambiguus) of medulla
* (Dorsal motor nucleus of vagus) of medulla
* (Solitary nucleus) of medulla
* (Spinal trigeminal nucleus) of medulla","* UBERON:0001896
* UBERON:0001719
* UBERON:0002870
* UBERON:0009050
* UBERON:0001717",,"* Leaves medulla in groove between (Olivary body) and the
* (Inferior cerebellar peduncle)
* Exits skull at middle compartment of (Jugular foramen)
* (Superior ganglion of the vagus)
* (Inferior ganglion of the vagus)
* (level of superior border of jugular foramen on the vagus nerve)
* (level of inferior border of jugular foramen on vagus nerve)
* (Accessory nerve) joins vagus just below inferior ganglion
* Descends vertically posterolateral to (Internal carotid artery) and
* (Common carotid artery)","* UBERON:0000128
* UBERON:0002163
* UBERON:0005456
* UBERON:0005364
* UBERON:0005363
* ILX:0794617
* ILX:0794620
* UBERON:0002019
* UBERON:0001532
* UBERON:0001530","* (Meningeal branch of vagus nerve)
* Recurrent meningeal branch of vagus nerve - no code for this
* Ansa of van Haller/extracranial connections of vagus nerve to glossopharyngeal nerve - no code for this
* (Communicating branch of vagus nerve with glossopharyngeal nerve)
* (Auricular branch of vagus nerve)
* (Pharyngeal branch of vagus)
* (Communicating branch of superior cervical ganglion with vagus nerve)
* (Branch of vagus nerve to carotid body)
* (Superior laryngeal nerve)
* Cardiopulmonary branches of vagus - no code for these
* (Pulmonary branch of vagus nerve)
* (Bronchial branch of vagus nerve)
* (Set of bronchial branches of vagus)
* (Superior cervical cardiac branch of vagus nerve)
* (Recurrent laryngeal nerve)
* (Inferior cervical cardiac branch of vagus nerve)
* (Thoracic cardiac branch of vagus nerve)
* (Cardiac branch to cardiac plexus)
* (Oesophageal branch of anterior vagal trunk)
* Forms (Oesophageal plexus) with left vagus
* (Greater anterior gastric nerve) mostly left vagus but some fibres from right vagus
* (Greater posterior gastric nerve) mainly right vagus, some fibres from left vagus
* (Entire vagus nerve celiac branch) mostly from right vagus 
* (Coeliac branch of posterior vagal trunk)
* (Hepatic branch of anterior vagal trunk)","* FMA:6231
* FMA:6233
* FMA:6232
* UBERON:0000929
* FMA:6901
* FMA:6237
* UBERON:0011326
* FMA:65515
* FMA:6247
* FMA:75514
* FMA:6244
* UBERON:0003716
* FMA:6245
* FMA:53601
* FMA:6596
* FMA:6715
* FMA:6225
* FMA:6684
* FMA:6689
* SNOMED:731051006
* FMA:6667
* FMA:6666","Jugular foramen, carotid sheath
General sensation from pharynx, larynx, trachea, oesophagus, part of auricle and external auditory meatus. Sensory from thoracic and abdominal viscera, sensory from aortic arch and aortic bodies. Parasympathetic to glands and smooth muscle in the pharynx, larynx, thoracic and abdominal viscera. Motor to pharyngeal, external laryngeal and oesophageal striated muscles (special visceral efferent).","Accompanied by the accessory nerve as it exits the jugular foramen, they share an arachnoid and dural sheath. Both nerves lie anterior to a fibrous septum that separates them from the glossopharyngeal nerve. Vagus descends vertically in the neck in the carotid sheath, between the internal jugular vein and the internal carotid artery, to the upper border of the thyroid cartilage, then passes between the vein and the common carotid artery to the root of the neck. R Vagus then descends posterior to the internal jugular vein to cross the first part of the subclavian artery and enter the thorax. Left Vagus enters the thorax between the left common carotid and subclavian arteries and behind the left brachiocephalic vein. R Vagus descends posterior to the internal jugular vein to cross the first part of the subclavian artery and enter the thorax.","Cell bodies of the sensory neurons are in the superior and inferior ganglia in the jugular foramen and fossa in the inferior part of the temporal bone at the base of the skull. The motor neurons are in the medulla (lower part of the brainstem) in the nucleus ambiguus and the dorsal motor nucleus of the vagus.
Superior (jugular) ganglion of vagus nerve: Small round superior enlargement on vagus nerve just after emerging from the jugular foramen. Connected to the inferior glossopharyngeal ganglion and the sympathetic trunk, the latter by a filament from the superior cervical ganglion. Sensory, contains somatic, special visceral and general visceral afferent neurones. Chiefly somatic, most of its neurones enter the auricular nerve.
Inferior (nodose) ganglion of vagus nerve: Larger inferior cylindrical enlargement on vagus nerve just after emerging from the jugular foramen. Connected with the hypoglossal nerve, the loop between the first and second cervical spinal nerves, and with the superior cervical sympathetic ganglion. Inferior ganglion neurones receive visceral sensation from heart, lungs, larynx and the alimentary tract from the pharynx to the transverse colon.",Gray's Anatomy p 466
Yes,Right vagus nerve,UBERON:0035021,UBERON:0001759,"* (Medulla oblongata) of brainstem
* (Nucleus ambiguus) of medulla
* (Dorsal motor nucleus of vagus) of medulla
* (Solitary nucleus) of medulla
* (Spinal trigeminal nucleus) of medulla
* (Superior ganglion of right vagus nerve)
* (Inferior ganglion of right vagus nerve)","* UBERON:0001896
* UBERON:0001719
* UBERON:0002870
* UBERON:0009050
* UBERON:0001717
* FMA:53553
* FMA:53555",,"* Right vagus descends posterior to (Right internal jugular vein)
* Right vagus crosses in front of first part of right (Subclavian artery)
* Posterior to (Right brachiocephalic vein)
* Right vagus reaches (Thorax) and travels on right side of
* (Trachea) which separates it from
* Right (Pleura)
* Passes behind (Right main bronchus)
* Right vagus inclines behind right (Lung hilum), forms
* (Pulmonary plexus) then travels medially towards
* (Oesophagus)
* Travels caudally lateral to oesophagus before forming (Oesophageal plexus) with left vagus, posterior oesophageal plexus mainly from right vagus
* Anterior and posterior vagal trunks form after oesophageal plexus at or just above the diaphragm at the oesophageal hiatus
* Anterior vagal trunk divides below the diaphragm into hepatic and gastric divisions

* (right level of superior border of jugular foramen on the vagus nerve)
* (right level of inferior border of jugular foramen on the vagus nerve)
* (Right internal carotid artery)
* (Right common carotid artery)
* (Right subclavian artery)
* (Right pleura)
* (Right lung hilum)","* FMA:4754
* UBERON:0001533
* FMA:4751
* UBERON:0000915
* UBERON:0003126
* UBERON:0000977
* UBERON:0002177
* UBERON:0004886
* UBERON:0002009
* UBERON:0001043
* FMA:6225

* ILX:0794618
* ILX:0794621
* UBERON:0007143
* UBERON:0001531
* UBERON:0001534
* FMA:74278
* UBERON:0004888","* (Meningeal branch of right vagus nerve)
* (Communicating branch of right vagus nerve with right glossopharyngeal nerve)
* (Auricular branch of right vagus nerve)
* (Pharyngeal branch of right vagus nerve to pharyngeal nerve plexus)
* Communicating branch of superior cervical ganglion with right vagus nerve - no code for this
* (Vagal branch to right carotid body)
* (Right superior laryngeal nerve)
* (Pulmonary branch of right vagus nerve)
* (Bronchial branch of right vagus nerve)
* (Right recurrent laryngeal nerve)
* (Right superior cervical cardiac branch of vagus nerve)
* (Inferior cervical cardiac branch of right vagus nerve to deep cardiac plexus)
* (Thoracic cardiac branch of right vagus nerve)
* (Right cardiac branch to deep part of cardiac plexus)
* (Greater posterior gastric nerve)
* (Entire vagus nerve celiac branch)
* (Coeliac nerve plexus)","* FMA:53541
* FMA:52559
* FMA:53534
* FMA:53635
* FMA:53606
* FMA:53530
* FMA:6671
* FMA:53613
* UBERON:0011767
* FMA:53598
* FMA:6713
* FMA:53604
* FMA:6597
* FMA:6689
* SNOMED:731051006
* UBERON:0002010",,,,
Yes,Left vagus nerve,UBERON:0035020,UBERON:0001759,"* (Medulla oblongata) of brainstem
* (Nucleus ambiguus) of medulla
* (Dorsal motor nucleus of vagus) of medulla
* (Solitary nucleus) of medulla
* (Spinal trigeminal nucleus) of medulla
* (Superior ganglion of left vagus nerve)
* (Inferior ganglion of left vagus nerve)","* UBERON:0001896
* UBERON:0001719
* UBERON:0002870
* UBERON:0009050
* UBERON:0001717
* FMA:53554
* FMA:53556",,"* Posterior to (Left brachiocephalic vein)
* Left vagus crosses in front of (Left subclavian artery) to enter
* (Thorax) between
* (Left common carotid) and left subclavian artery
* Descends on left side of (Aortic arch) which separates it from
* (Left pleura)
* Travels behind (Phrenic nerve)
* Travels behind (Root of left lung), forms
* (Pulmonary plexus) then turns medially and downwards to 
* (Oesophagus)
* Travels caudally lateral to oesophagus before forming (Oesophageal plexus) with right vagus, anterior oesophageal plexus mainly from left vagus from posterior pulmonary plexus
* Anterior and posterior vagal trunks form after oesophageal plexus at or just above the diaphragm at the oesophageal hiatus
* Anterior vagal trunk divides below the diaphragm into hepatic and gastric divisions

* (left level of superior border of jugular foramen on the vagus nerve)
* (left level of inferior border of jugular foramen on the vagus nerve)
* (Left internal carotid artery)
* (Left common carotid artery)
* (Left subclavian artery)
* (Left pleura)
* (Hilum of left lung)","* FMA:4761
* UBERON:0001584
* UBERON:0000915
* UBERON:0001536
* UBERON:0001508
* FMA:74278
* UBERON:0001884
* FMA:19736
* UBERON:0002009
* UBERON:0001043
* FMA:6225

* ILX:0794619
* ILX:0794622
* UBERON:0007142
* UBERON:0001536
* UBERON:0001584
* FMA:74279
* UBERON:0004887","* (Meningeal branch of left vagus nerve)
* (Communicating branch of left vagus nerve with left glossopharyngeal nerve)
* (Auricular branch of left vagus nerve)
* (Pharyngeal branch of left vagus nerve to pharyngeal nerve plexus)
* Communicating branch of superior cervical ganglion with left vagus nerve - no code for this
* (Vagal branch to left carotid body)
* (Left superior laryngeal nerve)
* (Pulmonary branch of left vagus nerve)
* (Bronchial branch of left vagus nerve)
* (Left recurrent laryngeal nerve)
* (Superior cervical cardiac branch of left vagus nerve)
* (Inferior cervical cardiac branch of left vagus nerve to superficial cardiac plexus)
* (Thoracic cardiac branch of left vagus nerve)
* (Left cardiac branch to deep part of cardiac plexus)
* (Greater anterior gastric nerve)
* (Coeliac nerve plexus)","* FMA:53542
* FMA:53560
* FMA:53535
* FMA:53636
* FMA:53607
* FMA:53536
* FMA:6679
* FMA:53558
* UBERON:0011766
* FMA:53599
* FMA:6714
* FMA:53605
* FMA:6599
* FMA:6684
* UBERON:0002010",Posterior to the left lung hilum the left vagus divides into posterior bronchial branches which join with sympathetic fibres to form left posterior pulmonary plexus. Two or three branches descend anteriorly on the oesophagus and join with fibres from right posterior pulmonary plexus to form the anterior oesophageal plexus.,,,
,Meningeal branch of vagus nerve,FMA:6231,,Superior ganglion of vagus nerve,UBERON:0005364,,"Start from 
* (Superior ganglion of vagus), pass through 
* (Jugular foramen)","* UBERON:0005364
* UBERON:0005456",(Dura mater of hindbrain),UBERON:0003565,,Pass through jugular foramen to be distributed to the dura mater in the posterior cranial fossa,,Gray's Anatomy p 467
Yes,Meningeal branch of right vagus nerve,FMA:53541,FMA:6231,Superior ganglion of right vagus nerve,FMA:53553,,"* (Right jugular ganglion)
* (Right jugular foramen)","* ILX:0788758
* FMA:56433",(Dura mater of hindbrain),UBERON:0003565,,,,
Yes,Meningeal branch of left vagus nerve,FMA:53542,FMA:6231,Superior ganglion of left vagus nerve,FMA:53554,,"* (Left jugular ganglion)
* (Left jugular foramen)","* ILX:0792179
* FMA:56434",(Dura mater of hindbrain),UBERON:0003565,,,,
,Recurrent meningeal branch of vagus nerve,,,Superior ganglion of vagus nerve,UBERON:0005364,,,,(Dura mater of hindbrain),UBERON:0003565,,,,"Penfield and McNaughton, Dural Headache and Innervation of the Dura Mater Archives of Neurology and Psychiatry 1940; 44(1) p 43-75"
,Recurrent meningeal branch of right vagus nerve,,Recurrent meningeal branch of vagus nerve,Superior ganglion of right vagus nerve,FMA:53553,,,,(Dura mater of hindbrain),UBERON:0003565,,,,
,Recurrent meningeal branch of left vagus nerve,,Recurrent meningeal branch of vagus nerve,Superior ganglion of left vagus nerve,FMA:53554,,,,(Dura mater of hindbrain),UBERON:0003565,,,,
,Communicating branch of vagus nerve with glossopharyngeal nerve,FMA:6233,,Point on vagus nerve where communicating branch of vagus nerve with glossopharyngeal nerve starts,,,"Arises from 
* (Superior ganglion of vagus) at
* (Jugular foramen)","* UBERON:0005364
* UBERON:0005456",Point on glossopharyngeal nerve where communicating branch of vagus nerve connects,,Communicating branch from vagus nerve joins glossopharyngeal nerve at (inferior glossopharyngeal ganglion) UBERON:0005360 in the lower part of the jugular foramen just before the lower opening at the exit of the skull,,,
Yes,Communicating branch of right vagus nerve with right glossopharyngeal nerve,FMA:52559,FMA:6233,Point on right vagus nerve where communicating branch of vagus nerve with right glossopharyngeal nerve starts,,,"Arises from 
* (Right jugular ganglion) at
* (Right jugular foramen)","* ILX:0788758
* FMA:56433",Point on right glossopharyngeal nerve where communicating branch of right vagus nerve connects,,Communicating branch from right vagus nerve joins right glossopharyngeal nerve at (right inferior glossopharyngeal ganglion) FMA:53478,,,
Yes,Communicating branch of left vagus nerve with left glossopharyngeal nerve,FMA:53560,FMA:6233,Point on left vagus nerve where communicating branch of vagus nerve with left glossopharyngeal nerve starts,,,"Arises from 
* (Left jugular ganglion)
* (Left jugular formamen)","* ILX:0792179
* FMA:56434",Point on left glossopharyngeal nerve where communicating branch of left vagus nerve connects,,Communicating branch from left vagus nerve joins left glossopharyngeal nerve at (left inferior glossopharyngeal ganglion) FMA:53479,,,
,Auricular branch of vagus nerve,FMA:6232,,Superior ganglion of the vagus nerve,UBERON:0005364,,"Arises from 
* (Superior ganglion of vagus), at exit from 
* (Jugular foramen)","* UBERON:0005364
* UBERON:0005456","* Ascending branch to point on facial nerve where auricular branch of vagus nerve connects in facial canal just above stylomastoid foramen
* Branch to point on posterior auricular nerve where auricular branch of vagus nerve connects
* (Ear skin)
* (External acoustic meatus)
* Outer surface of (tympanic membrane)","* UBERON:0001459
* UBERON:0001352
* UBERON:0002364",Gives off ascending branch to facial nerve. Auricular branch then traverses the tympanomastoid fissue and divides into two rami. One ramus joins posterior auricular nerve and the other is distributed to skin of part of the ear and to the posterior and inferior walls of the external acoustic meatus and to the adjoining part of the outer surface of the tympanic membrane.,Arises from superior vagal ganglion and joined by a branch from the inferior ganglion of the glossopharyngeal nerve. Passes behind the internal jugular vein and enters the mastoid canaliculus on the lateral wall of the jugular fossa. Supplies an ascending branch to the facial nerve. May receive fibres from the nervus intermedius. Traverses tympanomastoid fissure between mstoid process and tympanic part of temporal bone and divides into 2 rami. One ramus joins the posterior auricular nerve (branch of facial nerve) and the other supplies skin of part of the ear and the external acoustic meatus. (More detail in Gray's Anatomy p 467).,"Connections with: Chorda tympani, Posterior fossa dura mater, Posterior (external) part of auditory meatus and outer ear (auricle), Tympanic membrane, Floor of external acoustic meatus, Posterior wall of external acoustic meatus, Communicating branch with facial nerve, Communicating branch with posterior auricular nerve, Glossopharyngeal nerve. References need to be viewed for more detail (as listed in diagram in Shoffstall and Pelot, Mapping the Autonomic Pathways)","Gray's Anatomy p 467, 633, Shoffstall, Andrew J., Pelot, Nicole A. Mapping the Autonomic Pathways in 100 Human Nerves within a Demographically Representative Sample (Project) (unpublished?)"
Yes,Auricular branch of right vagus nerve,FMA:53534,FMA:6232,Superior ganglion of the right vagus nerve,FMA:53553,,"Arises from 
* (Right jugular ganglion), at exit from 
* (Right jugular foramen)","* ILX:0788758
* FMA:56433","* Ascending branch to point on right facial nerve where auricular branch of right vagus nerve connects
* Branch to point on right posterior auricular nerve where auricular branch of right vagus nerve connects
* Skin of (right ear)
* (Right external acoustic meatus)
* Outer surface of (right tympanic membrane)","* UBERON:0035174
* FMA:61735
* FMA:56427",,,,
Yes,Auricular branch of left vagus nerve,FMA:53535,FMA:6232,Superior ganglion of the left vagus nerve,FMA:53554,,"Arises from 
* (Left jugular ganglion), at exit from 
* (Left jugular foramen)","* ILX:0792179
* FMA:56434","* Ascending branch to point on left facial nerve where auricular branch of left vagus nerve connects
* Branch to point on left posterior auricular nerve where auricular branch of left vagus nerve connects
* Skin of (left ear)
* (Left external acoustic meatus)
* Outer surface of (left tympanic membrane)","* UBERON:0035295
* FMA:61736
* FMA:56428",,,,
,Communicating branch of auricular branch of vagus nerve with facial nerve,FMA:6691,,Auricular branch of vagus nerve,,,,,Facial nerve,,,,,
Yes,Communicating branch of auricular branch of right vagus nerve with right facial nerve,"FMA:53587
ILX:0791102",FMA:6691,Point on auricular branch of right vagus nerve where communicating branch of auricular branch of right vagus nerve with right facial nerve starts,,,,,Point in facial canal where communicating branch of auricular branch of right vagus nerve connects with right facial nerve,,,,,
Yes,Communicating branch of auricular branch of left vagus nerve with left facial nerve,"FMA:53588
ILX:0787673",FMA:6691,Point on auricular branch of left vagus nerve where communicating branch of auricular branch of left vagus nerve with left facial nerve starts,,,,,Point in facial canal where communicating branch of auricular branch of left vagus nerve connects with left facial nerve,,,,,
,Communicating branch of auricular branch of vagus nerve with posterior auricular nerve (Branch between auricular branch and facial nerve),"FMA:6692
ILX:0786624",,,,,,,,,,,,
Yes,Communicating branch of auricular branch of right vagus nerve to right posterior auricular nerve (Right branch of auricular branch to facial nerve),"FMA:53589
ILX:0786954","FMA:6692
ILX:0786624",Point on auricular branch of right vagus nerve where communicating branch of auricular branch of right vagus nerve to right posterior auricular nerve starts,,,The two branches meet somewere around the stylomastoid foramen,,Point where communicating branch of auricular branch of right vagus nerve to right posterior auricular nerve connects with right posterior auricular nerve,,,,,
Yes,Communicating branch of auricular branch of left vagus nerve to left posterior auricular nerve (Left branch of auricular branch to facial nerve),"FMA:53590
ILX:0786219","FMA:6692
ILX:0786624",Point on auricular branch of left vagus nerve where communicating branch of auricular branch of left vagus nerve to left posterior auricular nerve starts,,,,,Point where communicating branch of auricular branch of left vagus nerve to left posterior auricular nerve connects with left posterior auricular nerve,,,,,
,Pharyngeal branch of vagus nerve,UBERON:0000929,,Inferior ganglion of the vagus nerve,UBERON:0005363,,"Emerges from upper part of 
* (Inferior ganglion of vagus), just after exit from 
* (Jugular foramen)","* UBERON:0005363
* UBERON:0005456

ILX:0794620 (level of inferior border of jugular foramen on the vagus nerve), ILX:0794621 (right level of inferior border of jugular foramen on the vagus nerve)",(Pharyngeal nerve plexus),UBERON:0001989,Pharyngeal plexus lies in (Retropharyngeal space) UBERON:0035619 on posterolateral wall of (Pharynx) UBERON:0006562,"Emerges from upper part of inferior vagal ganglion, passes between the external and internal carotid arteries to the upper border of the middle pharyngeal constrictor. Divides into filaments that join rami of sympathetic trunk and glossopharyngeal nerve to form a pharyngeal plexus. A minute filament joins the hypoglossal nerve as it curves around the occipital artery. ",Main motor nerve of pharynx,Gray's Anatomy p 467
Yes,Pharyngeal branch of right vagus nerve to pharyngeal nerve plexus,FMA:53635,UBERON:0000929,Inferior ganglion of the right vagus nerve,FMA:53555,,"* (Inferior ganglion of the right vagus nerve)
* (Right jugular foramen)","* FMA:53555
* FMA:56433",(Pharyngeal nerve plexus),UBERON:0001989,,,,
Yes,Pharyngeal branch of left vagus nerve to pharyngeal nerve plexus,FMA:53636,UBERON:0000929,Inferior ganglion of the left vagus nerve,FMA:53556,,"* (Inferior ganglion of the left vagus nerve)
* (Left jugular foramen)","* FMA:53556
* FMA:56434",(Pharyngeal nerve plexus),UBERON:0001989,,,,
,Lingual branch of vagus nerve,FMA:6235,,Point on pharyngeal branch of vagus nerve where lingual branch starts,,,"Leaves pharyngeal branch of vagus at upper border of
* (Middle pharyngeal constrictor)
Joins 
* (Hypoglossal nerve) as it curves around the 
* (Occipital artery)","* UBERON:0010749
* UBERON:0001650
* UBERON:0001613",Posterior part of the (tongue),UBERON:0001723,,,,Shoffstall and Pelot Project
